ITEM;ENTIDADE;UF;Regiao;ID_MUNICIPIO;Localizacao;nota_CN;tipo;scores;categoria;PE;DOUTORADO;MESTRADO;ESPECIALIZAÇÃO;SEM.QUALIFICAÇÃO
1;13104420;AM;Norte;1303536;Urbana;473,5;Regular;5,275493102;Elementar;0,14;0;0;1;0
2;43169244;RS;Sul;4314902;Urbana;427,2;Mediação;8,352403322;Elementar;0,5;0;0;0,5;0,5
3;43105203;RS;Sul;4314902;Urbana;520,4;Regular;9,039277183;Elementar;0,91;0;0,16;0,14;0,7
4;43105220;RS;Sul;4314902;Urbana;487,7;Regular;9,039277183;Elementar;0,87;0,03;0,11;0,32;0,54
5;21276854;MA;Nordeste;2104800;Rural;460,3;Indígena;9,187279978;Elementar;0,32;0;0;0;1
6;21418209;MA;Nordeste;2103208;Rural;467,8;Regular;9,761616767;Elementar;1;0;0;0;1
7;43106480;RS;Sul;4314902;Urbana;489,4;Regular;10,39016676;Elementar;0,71;0;0;0;1
8;43108318;RS;Sul;4314902;Urbana;495,7;Regular;10,39016676;Elementar;0,5;0;0;0;1
9;14000822;RR;Norte;1400456;Rural;507,3;Indígena;10,67332838;Elementar;0,5;0;0;1;0
10;21269157;MA;Nordeste;2107456;Rural;538,4;Regular;11,20385995;Elementar;0,33;0;0;0;1
11;21269726;MA;Nordeste;2103604;Rural;415,4;Regular;11,20385995;Elementar;1;0;0;0;1
12;21350809;MA;Nordeste;2105302;Rural;498,9;Regular;11,20385995;Elementar;1;0;0;0;1
13;13102265;AM;Norte;1301704;Rural;462,7;Indígena;11,5445631;Elementar;0,83;0;0,1;0,6;0,3
14;21269980;MA;Nordeste;2101301;Rural;442,9;Regular;13,45042367;Elementar;0,75;0;0;0,67;0,33
15;12002275;AC;Norte;1200336;Rural;413,6;Indígena;13,5030919;Elementar;0,5;0;0;0;1
16;12005029;AC;Norte;1200302;Rural;421,2;Regular;13,8406919;Elementar;0,14;0;0;0;1
17;21371202;MA;Nordeste;2108058;Rural;471;Regular;13,87617018;Elementar;0,23;0;0;1;0
18;26183030;PE;Nordeste;2613701;Rural;462,7;Regular;14,14241209;Elementar;0,34;0;0;0;1
19;26184699;PE;Nordeste;2602902;Rural;452,9;Regular;14,14241209;Elementar;1;0;0;0;1
20;33170169;RJ;Sudeste;3302601;Urbana;454,4;Regular;14,14241209;Elementar;0,5;0;0;0;1
21;43108903;RS;Sul;4314902;Urbana;493,2;Regular;14,14241209;Elementar;0,26;0;0;0;1
22;21336024;MA;Nordeste;2105351;Rural;430,1;Regular;14,28307142;Elementar;0,6;0;0;0;1
23;35457772;SP;Sudeste;3554102;Urbana;525,1;EJA;14,37492967;Elementar;1;0;0;0;1
24;43108911;RS;Sul;4314902;Urbana;490,5;Profissionalizante;14,4867351;Elementar;0,94;0;0,39;0,1;0,51
25;29456479;BA;Nordeste;2933307;Urbana;486,9;Regular;15,51787656;Elementar;0,79;0;0;0,97;0,03
26;43106587;RS;Sul;4314902;Urbana;511,8;Regular;15,55688068;Elementar;0,72;0;0;1;0
27;51059479;MT;CO;5103858;Rural;495,9;Indígena;15,64057497;Elementar;0,33;0;0;0;1
28;21272581;MA;Nordeste;2106755;Rural;440,9;Regular;15,65244772;Elementar;1;0;0;0,5;0,5
29;21278407;MA;Nordeste;2111706;Rural;443;Regular;15,65244772;Elementar;0,55;0;0;0;1
30;21326258;MA;Nordeste;2108256;Rural;473,8;Regular;15,65244772;Elementar;0,33;0;0;0;1
31;21339430;MA;Nordeste;2106409;Rural;462,9;Regular;15,65244772;Elementar;0,4;0;0;1;0
32;21353000;MA;Nordeste;2108009;Rural;487,7;Regular;15,65244772;Elementar;0,5;0;0;0;1
33;21347220;MA;Nordeste;2111300;Rural;482,7;Regular;15,88726569;Elementar;0,55;0;0;0,55;0,45
34;25126415;PB;Nordeste;2512507;Rural;481,9;Regular;16,0368278;Elementar;1;0;0,27;0,06;0,67
35;29448018;BA;Nordeste;2905701;Urbana;468,1;Regular;16,31950713;Elementar;0,44;0;0;0,43;0,57
36;22064834;PI;Nordeste;2206605;Rural;463,5;Regular;16,34873471;Elementar;0,43;0;0;0;1
37;21361207;MA;Nordeste;2110005;Rural;399,9;Regular;16,41347734;Elementar;0,11;0;0;0;1
38;21422214;MA;Nordeste;2112704;Rural;464,8;Regular;16,70786597;Elementar;0,27;0;0;1;0
39;21242275;MA;Nordeste;2111052;Rural;416,3;Regular;16,90642531;Elementar;0,5;0;0;0,5;0,5
40;21269220;MA;Nordeste;2110906;Rural;449,7;Regular;16,90642531;Elementar;0,29;0;0;0;1
41;21272093;MA;Nordeste;2101608;Rural;433,4;Regular;16,92343103;Elementar;0,33;0;0;1;0
42;29450241;BA;Nordeste;2901106;Rural;442,1;Regular;17,03563008;Elementar;0,78;0;0;0,57;0,43
43;21336202;MA;Nordeste;2105351;Rural;506,9;Regular;17,09419237;Elementar;0,15;0;0;1;0
44;21259895;MA;Nordeste;2104602;Rural;468,6;Regular;17,24914707;Elementar;0,32;0;0;1;0
45;21325235;MA;Nordeste;2112407;Rural;411,3;Regular;17,30810727;Elementar;1;0;0;0;1
46;15055906;PA;Norte;1500909;Rural;478,3;Regular;17,46113657;Elementar;0,59;0;0,6;0,4;0
47;21247072;MA;Nordeste;2109809;Rural;463,2;Regular;17,47364564;Elementar;1;0;0;0,33;0,67
48;21296804;MA;Nordeste;2105476;Rural;499,4;Regular;17,64165517;Elementar;0,33;0;1;0;0
49;21370206;MA;Nordeste;2110104;Rural;475;Regular;17,65405521;Elementar;0,11;0;0;0;1
50;21275610;MA;Nordeste;2103174;Rural;442,7;Regular;17,96176979;Elementar;1;0;0;1;0
51;21283400;MA;Nordeste;2112803;Rural;409,5;Regular;17,96176979;Elementar;0,44;0;0;1;0
52;21424217;MA;Nordeste;2112704;Rural;433,2;Regular;18,11100459;Elementar;0,1;0;0;0;1
53;21312400;MA;Nordeste;2109809;Rural;513,3;Regular;18,13045625;Elementar;0,56;0;0;0;1
54;21272190;MA;Nordeste;2109007;Urbana;463,8;EJA;18,2603045;Elementar;0,33;0;0;1;0
55;21326240;MA;Nordeste;2112456;Rural;510,7;Regular;18,36021615;Elementar;0,5;0;0;0;1
56;21327220;MA;Nordeste;2112407;Rural;477,5;Regular;18,36021615;Elementar;0,75;0;0;0;1
57;21339449;MA;Nordeste;2110609;Rural;511,9;Regular;18,36021615;Elementar;0,5;0;0;0;1
58;22014160;PI;Nordeste;2205706;Urbana;499,1;Regular;18,43269151;Elementar;0,67;0;0;0;1
59;12015539;AC;Norte;1200807;Rural;489,8;Regular;18,53088905;Elementar;1;0;0;0;1
60;21403210;MA;Nordeste;2106631;Rural;424,5;Regular;18,58055098;Elementar;0,5;0;0;1;0
